index,filename,prompt_label,used_for_quantitative_eval_in_paper,source,pdf_rect
1,fig10_01_colorful_origami.png,colorful origami,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[97.11393737792969, 139.60162353515625, 168.95050048828125, 211.43820190429688]"
2,fig10_02_3d_rendering.png,3d rendering,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[187.0867462158203, 139.60162353515625, 258.7816162109375, 211.43820190429688]"
3,fig10_03_northern_renaissance_art.png,northern renaissance art,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[276.9178771972656, 139.60162353515625, 348.75445556640625, 211.43820190429688]"
4,fig10_04_kid_crayon_drawing.png,kid crayon drawing,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[366.74896240234375, 139.60162353515625, 438.5855407714844, 211.43820190429688]"
5,fig10_05_oil_painting_style_portrait.png,oil painting style,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[456.58013916015625, 139.60162353515625, 528.4166870117188, 211.43820190429688]"
6,fig10_06_matte_textured_3d_rendering.png,matte textured 3d rendering,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[97.11393737792969, 235.950439453125, 168.95050048828125, 307.7870178222656]"
7,fig10_07_watercolor_painting.png,watercolor painting,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[187.0867462158203, 235.950439453125, 258.7816162109375, 307.7870178222656]"
8,fig10_08_claymation.png,claymation,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[276.9178771972656, 235.950439453125, 348.75445556640625, 307.7870178222656]"
9,fig10_09_cartoon_style_illustration.png,cartoon style illustration,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[366.74896240234375, 235.950439453125, 438.5855407714844, 307.7870178222656]"
10,fig10_10_glowing_neon.png,glowing neon,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[456.58013916015625, 235.950439453125, 528.4166870117188, 307.7870178222656]"
11,fig10_11_intricate_line_art_illustration.png,intricate line-art illustration,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[97.11393737792969, 332.2992248535156, 168.95050048828125, 404.13580322265625]"
12,fig10_12_geometric_flat_illustration.png,geometric flat illustration,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[187.0867462158203, 332.2992248535156, 258.7816162109375, 404.13580322265625]"
13,fig10_13_metallic_3d_rendering.png,metallic 3D rendering,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[276.9178771972656, 332.2992248535156, 348.75445556640625, 404.13580322265625]"
14,fig10_14_neon_splash_comic_art.png,neon splash comic art,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[366.74896240234375, 332.2992248535156, 438.5855407714844, 404.13580322265625]"
15,fig10_15_architectural_line_art.png,architectural line art,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[456.58013916015625, 332.2992248535156, 528.4166870117188, 404.13580322265625]"
16,fig10_16_retro_sci_fi_graphic.png,retro sci-fi graphic,False,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[97.11393737792969, 428.6481018066406, 168.95050048828125, 500.48468017578125]"
17,fig10_17_flat_cartoon_vector_art.png,flat cartoon vector art,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[187.0867462158203, 428.6481018066406, 258.7816162109375, 500.48468017578125]"
18,fig10_18_matte_worn_wooden_sculpture.png,matte and worn out textured wooden sculpture,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[276.9178771972656, 428.6481018066406, 348.75445556640625, 500.48468017578125]"
19,fig10_19_melting_golden_3d_rendering.png,melting golden 3d rendering,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[366.74896240234375, 428.6481018066406, 438.5855407714844, 500.48468017578125]"
20,fig10_20_oil_painting_style_starry.png,oil painting style,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[456.58013916015625, 428.6481018066406, 528.4166870117188, 500.48468017578125]"
21,fig10_21_short_line_drawing.png,short line drawing,True,"arXiv:2507.04482v2 Figure 10, page 14; StyleDrop data.md provides image/source attributions for this benchmark family","[97.11393737792969, 533.6400146484375, 168.95050048828125, 605.4765625]"
